symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250729C00633000,SPY,633.0,2025-07-29,C,3.43,3.48,3.43,7194,2413,0.5114412459350265,3.139924306143703e-05,-0.0,0.0,0.16773293212890628,3.455,0,635.18017578125,0.996567626219492
SPY250729P00633000,SPY,633.0,2025-07-29,P,0.05,0.06,0.05,61856,6984,-0.48855875406497346,3.139924306143703e-05,-0.0,0.0,0.0473728076171875,0.055,0,635.18017578125,1.0034441955469984
SPY250729C00634000,SPY,634.0,2025-07-29,C,2.45,2.51,2.51,30926,8331,0.506193391136609,3.140251227013155e-05,-0.0,0.0,0.14038945556640625,2.48,0,635.18017578125,0.9981419826590173
SPY250729P00634000,SPY,634.0,2025-07-29,P,0.07,0.08,0.08,150497,6910,-0.493806608863391,3.140251227013155e-05,-0.0,0.0,0.03321279296875,0.07500000000000001,0,635.18017578125,1.0018614759956626
SPY250729C00635000,SPY,635.0,2025-07-29,C,1.55,1.56,1.58,106720,9375,0.5009455363381914,3.140383582164402e-05,-0.0,0.0,0.11072666625976563,1.5550000000000002,0,635.18017578125,0.9997163390985425
SPY250729P00635000,SPY,635.0,2025-07-29,P,0.15,0.16,0.15,271921,11985,-0.49905446366180856,3.140383582164402e-05,-0.0,0.0,0.0180762255859375,0.155,0,635.18017578125,1.0002837413877952
SPY250729C00636000,SPY,636.0,2025-07-29,C,0.75,0.76,0.75,281548,9169,0.4956976815397739,3.1403213469942986e-05,-0.0,0.0,0.08460388061523438,0.755,0,635.18017578125,1.0012906955380678
SPY250729P00636000,SPY,636.0,2025-07-29,P,0.39,0.4,0.4,353044,8276,-0.5043023184602261,3.1403213469942986e-05,-0.0,0.0,1.0000000000000003e-05,0.395,0,635.18017578125,0.9987109682095126
SPY250729C00637000,SPY,637.0,2025-07-29,C,0.26,0.27,0.26,344530,13668,0.49044982674135634,3.1400645330716596e-05,-0.0,0.0,0.06788041503906252,0.265,0,635.18017578125,1.002865051977593
SPY250729P00637000,SPY,637.0,2025-07-29,P,0.87,0.88,0.88,326358,10478,-0.5095501732586436,3.1400645330716596e-05,-0.0,0.0,1.0000000000000003e-05,0.875,0,635.18017578125,0.997143133094584
SPY250729C00638000,SPY,638.0,2025-07-29,C,0.09,0.1,0.09,341638,22434,0.4852019719429388,3.139613188133679e-05,-0.0,0.0,0.065439033203125,0.095,0,635.18017578125,1.0044394084171184
SPY250729P00638000,SPY,638.0,2025-07-29,P,1.66,1.7,1.65,194014,7789,-0.5147980280570612,3.139613188133679e-05,-0.0,0.0,1.0000000000000003e-05,1.68,0,635.18017578125,0.9955802128232759
SPY250729C00639000,SPY,639.0,2025-07-29,C,0.04,0.05,0.04,204887,13133,0.47995411714452124,3.1389673960711384e-05,-0.0,0.0,0.07032179687500001,0.045,0,635.18017578125,1.0060137648566436
SPY250729P00639000,SPY,639.0,2025-07-29,P,2.6,2.65,2.69,38947,1589,-0.5200458828554787,3.1389673960711384e-05,-0.0,0.0,1.0000000000000003e-05,2.625,0,635.18017578125,0.994022184321205
SPY250729C00640000,SPY,640.0,2025-07-29,C,0.02,0.03,0.02,183594,23434,0.4747062623461037,3.1381272769024175e-05,-0.0,0.0,0.07715766601562501,0.025,0,635.18017578125,1.0075881212961688
SPY250729P00640000,SPY,640.0,2025-07-29,P,3.57,3.62,3.59,13012,1033,-0.5252937376538963,3.1381272769024175e-05,-0.0,0.0,1.0000000000000003e-05,3.5949999999999998,0,635.18017578125,0.9924690246582031
SPY250729P00641000,SPY,641.0,2025-07-29,P,4.59,4.63,4.69,3655,310,-0.5305415924523138,3.1370929867363263e-05,-0.0,0.0,1.0000000000000003e-05,4.609999999999999,0,635.18017578125,0.9909207110471919
SPY250729P00642000,SPY,642.0,2025-07-29,P,5.56,5.6,5.61,2603,134,-0.5357894472507314,3.135864717723757e-05,-0.0,0.0,1.0000000000000003e-05,5.58,0,635.18017578125,0.9893772208430686
SPY250729P00643000,SPY,643.0,2025-07-29,P,6.58,6.63,6.61,1049,146,-0.5410373020491489,3.134442697998184e-05,-0.0,0.0,1.0000000000000003e-05,6.605,0,635.18017578125,0.9878385315416018
SPY250729P00644000,SPY,644.0,2025-07-29,P,7.46,7.63,7.6,1224,13,-0.5462851568475665,3.132827191605051e-05,-0.0,0.0,1.0000000000000003e-05,7.545,0,635.18017578125,0.9863046207783385
SPY250729P00645000,SPY,645.0,2025-07-29,P,8.53,8.6,8.7,378,3,-0.551533011645984,3.131018498420056e-05,-0.0,0.0,1.0000000000000003e-05,8.565,0,635.18017578125,0.9847754663275193
SPY250729P00646000,SPY,646.0,2025-07-29,P,9.48,9.75,10.5,12,0,-0.5567808664444016,3.12901695405638e-05,-0.0,0.0,1.0000000000000003e-05,9.615,0,635.18017578125,0.9832510461010062
