symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250729P00638000,SPY,638.0,2025-07-29,P,2.0,3.05,2.92,203566,7789,-0.5143772638617999,3.139261982888638e-05,-0.0,0.0,0.09180595703125,2.525,0,635.260009765625,0.9957053444602273
SPY250729P00639000,SPY,639.0,2025-07-29,P,2.62,4.05,3.95,40802,1589,-0.5196244591552093,3.138631947922932e-05,-0.0,0.0,0.11206942626953123,3.335,0,635.260009765625,0.9941471201339984
SPY250729P00640000,SPY,640.0,2025-07-29,P,4.0,6.31,4.89,17953,1033,-0.5248716544486185,3.1378076481380165e-05,-0.0,0.0,0.257819921875,5.154999999999999,0,635.260009765625,0.9925937652587891
SPY250729P00641000,SPY,641.0,2025-07-29,P,4.6,7.31,5.86,4029,310,-0.5301188497420278,3.1367892366668636e-05,-0.0,0.0,0.28247787841796873,5.955,0,635.260009765625,0.9910452570446567
SPY250729P00642000,SPY,642.0,2025-07-29,P,5.72,8.22,6.85,2904,134,-0.5353660450354372,3.1355769026661864e-05,-0.0,0.0,0.29798065307617183,6.970000000000001,0,635.260009765625,0.9895015728436527
SPY250729P00643000,SPY,643.0,2025-07-29,P,6.68,9.18,7.85,1231,146,-0.5406132403288464,3.13417087125788e-05,-0.0,0.0,0.31702343139648437,7.93,0,635.260009765625,0.987962690148717
SPY250729P00644000,SPY,644.0,2025-07-29,P,7.65,9.07,8.93,1271,13,-0.5458604356222557,3.132571403459355e-05,-0.0,0.0,0.20508607421874997,8.36,0,635.260009765625,0.9864285865925854
SPY250729P00645000,SPY,645.0,2025-07-29,P,8.68,11.18,9.91,391,3,-0.5511076309156651,3.1307787961027756e-05,-0.0,0.0,0.36096830444335937,9.93,0,635.260009765625,0.9848992399467055
SPY250729P00646000,SPY,646.0,2025-07-29,P,9.6,12.32,10.57,17,0,-0.5563548262090744,3.128793381743253e-05,-0.0,0.0,0.3969786865234375,10.96,0,635.260009765625,0.9833746281201625
SPY250729P00647000,SPY,647.0,2025-07-29,P,10.6,13.32,11.55,47,2,-0.5616020215024836,3.126615528556026e-05,-0.0,0.0,0.4182187084960937,11.96,0,635.260009765625,0.9818547291586167
SPY250729P00648000,SPY,648.0,2025-07-29,P,11.6,14.32,13.4,14,4,-0.566849216795893,3.124245640222666e-05,-0.0,0.0,0.43897045410156255,12.96,0,635.260009765625,0.9803395212432484
SPY250729P00649000,SPY,649.0,2025-07-29,P,12.6,15.32,14.16,45,4,-0.5720964120893023,3.1216841558063796e-05,-0.0,0.0,0.4594780615234375,13.96,0,635.260009765625,0.978828982689715
SPY250729P00650000,SPY,650.0,2025-07-29,P,13.6,16.32,15.0,22,7,-0.5773436073827115,3.118931549616434e-05,-0.0,0.0,0.4797415307617187,14.96,0,635.260009765625,0.9773230919471154
SPY250729P00655000,SPY,655.0,2025-07-29,P,18.57,21.37,17.47,3,0,-0.6035795838497581,3.102320740767199e-05,-0.0,0.0,0.5827678442382812,19.97,0,635.260009765625,0.9698626103291985
SPY250729P00660000,SPY,660.0,2025-07-29,P,23.57,26.37,23.59,10,5,-0.6298155603168045,3.081023014081251e-05,-0.0,0.0,0.6752962158203126,24.97,0,635.260009765625,0.962515166311553
SPY250729P00720000,SPY,720.0,2025-07-29,P,83.57,86.35,84.75,36,0,-0.9446472779213626,2.5137990559093785e-05,-0.0,0.0,1.111332568359375,84.96,0,635.260009765625,0.8823055691189237
