contract_symbol,last_trade_date,strike,last,bid,ask,change,percentChange,volume,open_interest,implied_volatility,inTheMoney,contract_size,currency,option_type,expiration,date,underlying,underlying_price,mid_price,bid_ask_spread,spread_pct,days_to_expiration,moneyness,delta,gamma,theta,vega
SPY250729C00601000,2025-07-29 15:37:40+00:00,601.0,34.37,35.28,35.55,-0.4300003,-1.2356331,46.0,11,0.6391637646484375,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,35.415,0.269999999999996,0.007623888182973204,0,0.9449012692297432,0.6836624359008561,3.01933471196795e-05,-0.0,0.0
SPY250729P00601000,2025-07-28 18:30:08+00:00,601.0,0.01,0.0,0.01,-0.01,-50.0,10.0,2040,0.39063109375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0583116274308444,-0.31633756409914393,3.01933471196795e-05,-0.0,0.0
SPY250729C00602000,2025-07-29 16:16:18+00:00,602.0,33.72,34.26,34.51,-2.0299988,-5.6783185,22.0,3,0.614261669921875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,34.385,0.25,0.007270612185546023,0,0.9464734843199757,0.6784217189334143,3.025787206597137e-05,-0.0,0.0
SPY250729P00602000,2025-07-28 18:29:43+00:00,602.0,0.02,0.0,0.01,0.0,0.0,3.0,7249,0.37500625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0565536346942483,-0.3215782810665857,3.025787206597137e-05,-0.0,0.0
SPY250729C00603000,2025-07-18 18:29:37+00:00,603.0,25.29,33.27,33.51,0.0,0.0,,1,0.6005899316406251,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,33.39,0.23999999999999488,0.00718778077268628,0,0.9480456994102082,0.6731810019659725,3.032066113699084e-05,-0.0,0.0
SPY250729P00603000,2025-07-29 15:50:26+00:00,603.0,0.01,0.0,0.01,0.0,0.0,7.0,7284,0.367193828125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0548014727793324,-0.3268189980340274,3.032066113699084e-05,-0.0,0.0
SPY250729C00604000,2025-07-25 17:51:34+00:00,604.0,33.38,32.26,32.43,0.0,0.0,8.0,2,0.5708050732421875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,32.345,0.1700000000000017,0.0052558355232648546,0,0.9496179145004408,0.6679402849985309,3.0381702962465648e-05,-0.0,0.0
SPY250729P00604000,2025-07-29 14:16:00+00:00,604.0,0.01,0.0,0.01,-0.01,-50.0,7.0,4224,0.35938140625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.053055112725062,-0.33205971500146914,3.0381702962465648e-05,-0.0,0.0
SPY250729C00605000,2025-07-29 16:45:16+00:00,605.0,30.64,31.26,31.55,-0.55000114,-1.7633893,14.0,19,0.5751995605468749,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,31.405,0.28999999999999915,0.00923419837605474,0,0.9511901295906733,0.6626995680310891,3.0440986473121434e-05,-0.0,0.0
SPY250729P00605000,2025-07-29 14:36:24+00:00,605.0,0.01,0.0,0.01,-0.01,-50.0,4.0,2814,0.3437565625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0513145257618801,-0.3373004319689109,3.0440986473121434e-05,-0.0,0.0
SPY250729C00606000,2025-07-25 17:02:58+00:00,606.0,30.95,30.26,30.55,0.0,0.0,2.0,2,0.559574716796875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,30.405,0.28999999999999915,0.009537904949843747,0,0.9527623446809058,0.6574588510636474,3.0498500904026453e-05,-0.0,0.0
SPY250729P00606000,2025-07-29 14:55:15+00:00,606.0,0.01,0.0,0.01,0.0,0.0,1.0,1146,0.335944140625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0495796833101279,-0.34254114893635257,3.0498500904026453e-05,-0.0,0.0
SPY250729C00607000,2025-07-28 19:21:26+00:00,607.0,28.39,29.23,29.53,-0.6400013,-2.2046204,1.0,5,0.5371140039062501,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,29.380000000000003,0.3000000000000007,0.010211027910142978,0,0.9543345597711383,0.6522181340962057,3.055423579784886e-05,-0.0,0.0
SPY250729P00607000,2025-07-29 13:30:02+00:00,607.0,0.01,0.0,0.01,0.0,0.0,1.0,1196,0.32813171874999997,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0478505569784802,-0.34778186590379434,3.055423579784886e-05,-0.0,0.0
SPY250729C00608000,2025-07-28 19:13:51+00:00,608.0,27.84,28.27,28.55,0.0,0.0,1.0,9,0.5302781347656251,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,28.41,0.28000000000000114,0.009855684618092261,0,0.9559067748613708,0.6469774171287639,3.060818100802509e-05,-0.0,0.0
SPY250729P00608000,2025-07-29 13:54:27+00:00,608.0,0.01,0.0,0.01,-0.01,-50.0,1.0,1057,0.31641308593749995,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0461271185623973,-0.35302258287123606,3.060818100802509e-05,-0.0,0.0
SPY250729C00609000,2025-07-29 15:50:16+00:00,609.0,26.91,27.27,27.53,-1.6100006,-5.6451635,12.0,8,0.5122119091796875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,27.4,0.26000000000000156,0.009489051094890568,0,0.9574789899516033,0.6417367001613222,3.066032670183803e-05,-0.0,0.0
